name,type,description
Multi-Objective Optimization,technique,Balancing multiple criteria in malware detection system design.
Pareto Optimization,technique,Finding optimal trade-offs in malware detection performance metrics.
Cross-Validation Techniques,technique,Model evaluation methods for reliable malware classification assessment.
Stratified Sampling,technique,Sampling methods that maintain class distribution in malware datasets.
Bootstrapping Methods,technique,Resampling techniques for estimating malware model performance.
Statistical Significance Testing,technique,Determining if differences in malware detection performance are meaningful.
A/B Testing,technique,Comparing malware detection system performance between different approaches.
Confusion Matrix Analysis,technique,Detailed performance analysis of malware classification results.
ROC Curve Analysis,technique,Receiver operating characteristic analysis for binary malware classification.
Precision-Recall Curves,technique,Performance visualization for imbalanced malware datasets.
F1-Score Calculation,technique,Harmonic mean of precision and recall for malware classification.
Matthews Correlation Coefficient,technique,Balanced performance metric for malware binary classification.
Cohen's Kappa,technique,Inter-rater agreement statistic adapted for malware classification evaluation.
Area Under Curve,technique,Single-number summary of classifier performance across thresholds.
Top-K Accuracy,technique,Evaluation metric for malware family classification with multiple predictions.
Mean Average Precision,technique,Evaluation metric for ranked malware classification results.
Normalized Discounted Cumulative Gain,technique,Ranking quality measure for malware search and retrieval.
Calibration Analysis,technique,Assessing how well predicted probabilities match actual malware classification rates.
Reliability Diagrams,technique,Visual assessment of probability calibration in malware classifiers.
Brier Score,technique,Scoring rule for probabilistic malware classification predictions.
Log-Loss,technique,Logarithmic loss function for evaluating probabilistic malware classifiers.
Information Gain,technique,Measure of feature informativeness for malware classification.
Mutual Information,technique,Statistical dependence measure between features and malware labels.
Chi-Square Test,technique,Statistical test for feature independence in malware classification.
ANOVA F-Test,technique,Statistical test for comparing means across malware families.
Kolmogorov-Smirnov Test,technique,Non-parametric test for comparing distributions in malware data.
Mann-Whitney U Test,technique,Non-parametric test for comparing two malware groups.
Kruskal-Wallis Test,technique,Non-parametric alternative to ANOVA for malware family comparison.
Wilcoxon Signed-Rank Test,technique,Non-parametric test for paired malware samples comparison.
McNemar's Test,technique,Statistical test for comparing paired malware classification results.
Cochran's Q Test,technique,Extension of McNemar's test for multiple malware classifiers.
Friedman Test,technique,Non-parametric test for comparing multiple malware detection algorithms.
Dunn's Post-Hoc Test,technique,Multiple comparison test following significant Kruskal-Wallis results.
Bonferroni Correction,technique,Adjustment for multiple testing in malware analysis experiments.
False Discovery Rate Control,technique,Controlling expected proportion of false discoveries in malware analysis.
Permutation Testing,technique,Non-parametric statistical testing using data permutations.
Bootstrap Confidence Intervals,technique,Resampling-based confidence intervals for malware analysis statistics.
Jackknife Estimation,technique,Leave-one-out resampling for bias estimation in malware studies.
Cross-Validation Scoring,technique,Performance estimation using multiple train-test splits.
Time Series Cross-Validation,technique,Temporal validation for malware detection in time-ordered data.
Nested Cross-Validation,technique,Unbiased performance estimation with hyperparameter tuning.
Leave-One-Out Validation,technique,Extreme case of cross-validation using single test examples.
Group Cross-Validation,technique,Validation respecting group structure in malware datasets.
Stratified Cross-Validation,technique,Cross-validation maintaining class proportions across folds.
Monte Carlo Validation,technique,Random sampling approach for malware model validation.
Holdout Validation,technique,Simple train-test split for malware model evaluation.
Temporal Validation,technique,Time-based splitting for malware detection in streaming scenarios.
Geographical Validation,technique,Location-based splitting for malware detection across regions.
Adversarial Validation,technique,Using adversarial training to identify dataset shift in malware data.
Dataset Shift Detection,technique,Identifying changes in malware data distribution over time.
Covariate Shift Analysis,technique,Analyzing changes in input distribution while labels remain stable.
Label Shift Detection,technique,Identifying changes in class proportions in malware datasets.
Concept Drift Detection,technique,Identifying changes in the relationship between features and malware labels.
Adaptive Learning,technique,Continuously updating malware detection models as new data arrives.
Online Learning,technique,Updating malware classifiers incrementally with streaming data.
Incremental Learning,technique,Adding new malware families to existing classifiers without retraining.
Lifelong Learning,technique,Continuously learning new malware types while retaining old knowledge.
Catastrophic Forgetting Mitigation,technique,Preventing loss of old knowledge when learning new malware types.
Elastic Weight Consolidation,technique,Regularization technique for preventing catastrophic forgetting.
Progressive Neural Networks,technique,Architecture for learning new malware types without forgetting.
PackNet Architecture,technique,Neural network pruning approach for incremental malware learning.
Memory Replay Systems,technique,Storing and replaying old malware examples during new learning.
Pseudo-Rehearsal,technique,Using synthetic examples to prevent forgetting in malware classifiers.
Knowledge Distillation Transfer,technique,Preserving old knowledge while learning new malware families.
Multi-Head Architecture,technique,Neural networks with separate heads for different malware families.
Task-Specific Layers,technique,Dedicated neural network layers for specific malware analysis tasks.
Parameter Isolation,technique,Separating neural network parameters for different malware domains.
Modular Networks,technique,Composable neural architectures for multi-task malware analysis.
Ensemble Methods,technique,Combining multiple models for robust malware detection.
Bagging Techniques,technique,Bootstrap aggregating for improved malware classification.
Boosting Algorithms,technique,Sequential learning for focusing on difficult malware examples.
AdaBoost Implementation,technique,Adaptive boosting specifically applied to malware detection.
Gradient Boosting,technique,Additive model training for malware classification improvement.
XGBoost Application,technique,Extreme gradient boosting optimized for malware detection tasks.
LightGBM Usage,technique,Efficient gradient boosting framework for large malware datasets.
CatBoost Implementation,technique,Categorical boosting algorithm for malware feature processing.
Stacking Techniques,technique,Multi-level ensemble learning for malware detection.
Blending Methods,technique,Weighted combination of malware detection model predictions.
Voting Classifiers,technique,Democratic combination of multiple malware classification decisions.
Mixture of Experts,technique,Gating networks for selecting appropriate malware analysis models.
Dynamic Model Selection,technique,Runtime selection of optimal malware detection models.
Model Switching,technique,Adaptive selection between different malware analysis approaches.
Multi-Modal Learning,technique,Combining different data types for comprehensive malware analysis.
Multi-View Learning,technique,Learning from different perspectives of the same malware data.
Early Fusion,technique,Combining features from different malware data sources before learning.
Late Fusion,technique,Combining predictions from models trained on different malware views.
Intermediate Fusion,technique,Combining features at intermediate neural network layers.
Attention Fusion,technique,Using attention mechanisms to combine multi-modal malware information.
Cross-Modal Learning,technique,Learning relationships between different types of malware representations.
Heterogeneous Ensemble,technique,Combining diverse model types for malware detection.
Homogeneous Ensemble,technique,Combining multiple instances of the same model type.
Dynamic Ensemble,technique,Adaptively weighting ensemble members based on malware characteristics.
Selective Ensemble,technique,Choosing subset of models for specific malware classification tasks.
Negative Correlation Learning,technique,Training ensemble members to make diverse errors.
Diversity Measures,technique,Quantifying difference between ensemble members for malware detection.
Ambiguity Decomposition,technique,Analyzing bias-variance-ambiguity trade-off in malware ensembles.
Overproduce and Choose,technique,Training many models and selecting best subset for malware detection.
Bayesian Model Averaging,technique,Probabilistic combination of malware detection models.
Bayesian Neural Networks,technique,Probabilistic neural networks for uncertainty quantification.
Monte Carlo Dropout,technique,Using dropout at inference time for uncertainty estimation.
Deep Ensembles,technique,Multiple neural networks trained with different initializations.
Snapshot Ensembles,technique,Collecting models from different points in training trajectory.
Fast Geometric Ensembling,technique,Efficient ensemble creation using cyclical learning rates.
Test-Time Augmentation,technique,Averaging predictions across augmented versions of malware samples.
Model Soup,technique,Averaging weights of fine-tuned models for improved performance.
Weight Averaging,technique,Combining neural network weights rather than predictions.
Exponential Moving Average,technique,Smoothing model weights during training for stability.
Polyak Averaging,technique,Averaging model parameters over training iterations.
Lookahead Optimizer,technique,Optimization algorithm that looks ahead before making weight updates.
Cyclical Learning Rates,technique,Varying learning rates cyclically during malware model training.
Warm Restarts,technique,Periodically restarting learning rate schedules during training.
Cosine Annealing,technique,Smoothly decreasing learning rates following cosine function.
Linear Warmup,technique,Gradually increasing learning rates at the start of training.
Learning Rate Scheduling,technique,Systematic variation of learning rates during malware model training.
Adaptive Learning Rates,technique,Automatically adjusting learning rates based on training progress.
name,type,description
IDA Pro,tool,IDA Pro is a powerful static analysis toolkit that disassembles and decompiles executable binaries. It allows analysts to view low-level machine code and reconstruct higher-level structures without executing the code.
Ghidra,tool,Ghidra is a powerful static analysis toolkit that disassembles and decompiles executable binaries. It allows analysts to view low-level machine code and reconstruct higher-level structures without executing the code.
Radare2,tool,Radare2 is a powerful static analysis toolkit that disassembles and decompiles executable binaries. It allows analysts to view low-level machine code and reconstruct higher-level structures without executing the code.
Bintext,tool,Bintext is a utility for extracting human-readable strings from binary files. Analysts use it in static analysis to find embedded URLs, commands, or other text that may indicate malware behavior.
CFF Explorer,tool,CFF Explorer is a tool that processes binary files. It is used in static analysis to uncover hidden content or patterns without executing the files.
PEStudio,tool,"PEStudio is a malware triage tool that analyzes executables for indicators of compromise. It extracts static features like imports, strings, and file metadata to quickly identify malicious characteristics without execution."
PEiD,tool,"PEiD is a tool designed to detect packers, cryptors, and compilers used on executable files. It helps identify whether a malware sample is packed or protected, which is crucial for static analysis and further unpacking efforts."
Resource Hacker,tool,"Resource Hacker is a tool that allows viewing and modifying resources (like images and dialogs) inside Windows executables and DLLs. In static analysis, it helps investigators examine or alter embedded resources without running the program."
PE-Bear,tool,PE-Bear is a tool that processes binary files. It is used in static analysis to uncover hidden content or patterns without executing the files.
apktool,tool,"apktool is a tool for reverse engineering Android application packages (APKs). It can decode resources to nearly original form and rebuild them after making changes, enabling inspection of app structure statically."
Detect-It-Easy,tool,"Detect-It-Easy is a tool designed to detect packers, cryptors, and compilers used on executable files. It helps identify whether a malware sample is packed or protected, which is crucial for static analysis and further unpacking efforts."
Strings (Sysinternals),tool,Strings (Sysinternals) is a utility for extracting human-readable strings from binary files. Analysts use it in static analysis to find embedded URLs, commands, or other text that may indicate malware behavior.
FLOSS,tool,FLOSS is a tool for extracting obfuscated strings from binaries. It detects strings built at runtime and in encoded forms, helping analysts find text that normal string tools may miss.
HashMyFiles,tool,"HashMyFiles is a utility to compute cryptographic hash values (like MD5, SHA1) of files. In static analysis, analysts use it to identify files or verify integrity by comparing hashes to known signatures in databases."
ExeInfo PE,tool,"ExeInfo PE is a tool designed to detect packers, cryptors, and compilers used on executable files. It helps identify whether a malware sample is packed or protected, which is crucial for static analysis and further unpacking efforts."
HxD,tool,HxD is a hex editor that allows viewing and editing binary files in raw form. Static analysts use it to inspect file bytes, headers, and other low-level data directly.
FileAlyzer,tool,FileAlyzer is a tool that processes binary files. It provides information about file structures and strings, helping analysts uncover hidden content or patterns without executing the files.
ssdeep,tool,"ssdeep is a fuzzy hashing tool that compares files based on context-triggered piecewise hashes. It helps find similar malware variants by matching patterns in files even if they differ slightly."
TrIDNet,tool,TrIDNet is a tool that identifies file types by analyzing their binary signatures. It helps analysts determine the format of an unknown file sample as a first step in static analysis.
JEB Decompiler,tool,"JEB Decompiler is an interactive reverse engineering suite (often used for Android and Windows binaries) that decompiles code into high-level representations. It aids static analysis by making disassembled code more readable."
Hopper Disassembler,tool,Hopper Disassembler is a reverse-engineering tool for Mac and Linux that translates executables into assembly code. Analysts use it to study and trace program logic without executing the code.
Binary Ninja,tool,"Binary Ninja is a reverse-engineering platform with a modern interface that provides disassembly and decompilation. It includes an intermediate representation and scripting support to assist in static malware analysis."
Cutter,tool,"Cutter is a Qt and C++ GUI for Radare2, providing disassembly and hex-editing capabilities in a user-friendly interface. It is used for static analysis by presenting binary code and structures visually."
Snowman Decompiler,tool,"Snowman Decompiler is a native code to C/C++ decompiler available as a library and plugin. Analysts use it in static analysis to convert machine code into a high-level pseudo-code for easier understanding."
YARA,tool,"YARA is a pattern matching tool used to identify and classify malware. Analysts write rules of text or binary patterns so that YARA can scan files and report matches, making it valuable for static signature detection."
Capstone Engine,tool,"Capstone Engine is a lightweight multi-architecture disassembly framework. It can be embedded in other tools to disassemble machine code into assembly language, a key step in static malware analysis."
Angr,tool,"Angr is a binary analysis framework that includes disassembly, control flow analysis, and symbolic execution capabilities. It can perform deep static analysis, such as path exploration and code simulation, to detect potential vulnerabilities or behaviors."
Dex2Jar,tool,"Dex2Jar is a tool that converts Dalvik bytecode (DEX) from Android APKs into Java bytecode (JAR). This assists analysts in static analysis by making Android app code readable with Java decompilers."
Jadx,tool,"Jadx is an open-source decompiler for Android apps (DEX files). It converts bytecode into Java source code, allowing static analysis of app logic using familiar high-level language."
Class-dump,tool,Class-dump is a Mac tool that extracts Objective-C class information from Mach-O binaries. It helps static analysts by revealing class structures and method names in iOS/macOS executables.
ClamAV,tool,"ClamAV is an open-source antivirus engine that includes signature-based scanning. In static analysis, it can be used to scan files for known malware patterns without executing them."
VirusTotal,tool,"VirusTotal is an online service that scans files with multiple antivirus engines and tools. Analysts use static analysis by uploading samples to quickly identify known malware signatures and community intelligence."
Dependency Walker,tool,Dependency Walker is a Windows utility that lists all DLLs and functions imported by a PE file. In static analysis, it shows which system calls a binary might use by revealing its dependencies.
PEview,tool,PEview is a tool that displays detailed information about Windows PE files, including headers, sections, and resources. Static analysts use it to examine structural details of executables.
Sigcheck,tool,"Sigcheck is a Windows Sysinternals utility that computes and displays file hashes and digital signatures. In static analysis, it helps verify file integrity and trust by checking signatures without running the code."
Reflector,tool,"Reflector (dotPeek) is a .NET assembly browser and decompiler. Analysts use it to view the code of .NET executables and libraries in C# or IL, enabling static inspection of managed code."
ILSpy,tool,"ILSpy is an open-source .NET assembly browser and decompiler. It converts .NET binaries into C# source code, which helps analysts statically examine managed code logic and find malicious behavior."
dotPeek,tool,"dotPeek is a free .NET decompiler by JetBrains. It allows static analysis of .NET assemblies by converting them into C# or IL, making it easier to inspect code for malicious intent."
dnSpy,tool,"dnSpy is a .NET debugger and assembly editor that also decompiles to C#. Analysts use it to statically inspect and edit .NET executables, as well as debug if needed."
file (Unix),tool,"file is a Unix command-line utility that identifies the type of a file by examining its headers. Analysts use it in static analysis to quickly determine the format (e.g., ELF, PE, script) of a given file."
Detect-It-Easy,tool,"Detect-It-Easy (DIE) is a tool designed to detect packers, compilers, and cryptors used on executable files. It helps identify file compression or encryption, guiding further static analysis."
PEStudio,tool,"PEStudio is a malware triage tool that analyzes executables for indicators of compromise. It extracts static features like imports, strings, and file metadata to quickly identify malicious characteristics without execution."
PE-Bear,tool,PE-Bear is a tool that processes PE files on Windows. It provides a tree view of sections, imports, and resources to help analysts statically inspect PE details without running the binary.
Capa (Mandiant capa),tool,"Capa is a tool that identifies capabilities in executable (PE, ELF, .NET, etc.) files and maps them to known behaviors. It uses static code analysis to match patterns of functionalities (like network access, registry editing) aiding analysts in understanding what a binary can do."
Strings (GNU),tool,Strings (GNU) is a Unix utility for extracting printable strings from binary files. Analysts use it in static analysis to locate embedded text such as paths, URLs, or commands that may hint at malware behavior.
Sysinternals Strings,tool,Sysinternals Strings is a Windows utility to find printable character sequences in binary files. It is used to reveal embedded strings like file names or URLs that aid in static malware analysis.
Malcat,tool,"Malcat is a hex editor and disassembler designed for quick triage of unknown files. It provides a user-friendly interface to view and search binary contents and disassemble code for static malware analysis."
CyberChef,tool,"CyberChef is a web-based 'cyber Swiss Army knife' that performs various decoding, deobfuscation, and analysis tasks on data. Analysts use it in static analysis to apply transformation recipes (like XOR, Base64 decode) to pieces of a binary or text."
BinaryRefinery,tool,"BinaryRefinery is a command-line version of CyberChef. It provides similar data transformation and extraction operations in scripts, enabling static analysis of binary data through filters and decoders."
XORSearch,tool,"XORSearch is a tool that attempts to reveal XOR-encrypted strings in binaries. It iterates possible keys to decrypt hidden text, aiding static analysts in finding obfuscated information."
binwalk,tool,"binwalk is a tool for extracting embedded or compressed files from a binary blob, often used for firmware. It recursively finds and extracts data, which helps analysts unpack firmware images and find hidden payloads without running the sample."
unblob,tool,"unblob is a tool similar to binwalk for extracting embedded files. It scans binaries for known file signatures and extracts them, assisting static analysis of firmware and packed executables by uncovering hidden content."
debloat,tool,"debloat is a utility that removes extraneous data and decompresses certain formats in binaries. Analysts use it to strip unnecessary sections and decompress embedded data, simplifying static inspection of the code."
7-Zip,tool,"7-Zip is a file archiver that can unpack many archive and compression formats. In static analysis, it helps extract files (like MSI installers or embedded archives) that may contain malicious binaries or scripts."
UPX,tool,"UPX (Ultimate Packer for eXecutables) is a popular open-source executable packer. Analysts use it by analyzing or reversing UPX-packed files to decompress the payload, enabling static inspection of the original code."
WinHex,tool,WinHex is a commercial hexadecimal editor and disk utility for Windows. Static analysts use it to manually examine and edit binary files and disk images at the byte level for in-depth examination.
010 Editor,tool,010 Editor is a professional hex editor with binary templates. It allows analysts to define custom data structures for parsing file formats during static analysis, helping to make sense of complex binary data.
RegExr,tool,RegExr is an online tool for building and testing regular expressions. Malware analysts use it to develop regex patterns for static scanning of text or code, such as searching disassembled code for specific functions.
Resource Tuner,tool,"Resource Tuner is a tool that can view and edit resources in Windows executables. Analysts use it to analyze embedded resources (icons, dialogs, strings) in malware without executing the file."
Linux Strings,tool,"Linux Strings refers to the strings utility on Linux systems. Like its Windows counterpart, it extracts printable strings from files, helping analysts find clues like URLs or commands statically."
MalwareAnalyzer,tool,MalwareAnalyzer is a tool that analyzes malware samples and static features. It scans files for known malicious signatures and indicators without executing them.
BinaryExplorer,tool,BinaryExplorer is a tool that inspects the internal structure of binary files. It allows analysts to browse sections, headers, and code segments to look for suspicious patterns during static analysis.
FileParser,tool,FileParser is a tool that parses file headers and contents. It extracts metadata and embedded data from files to help analysts understand the file structure without executing it.
StaticScanner,tool,StaticScanner is a tool that scans files for malware indicators using static signatures. It compares file contents against known patterns to detect malicious code in a non-execution context.
ReverseInspector,tool,ReverseInspector is a tool that inspects binaries for malicious code patterns. It includes static analysis features to highlight suspicious code sequences without running the program.
DecompToolkit,tool,DecompToolkit is a toolkit for decompiling executables into high-level code representations. Analysts use it to automatically convert binary code into readable source code during static analysis.
EntropyEngine,tool,EntropyEngine is a tool that computes entropy levels of file sections. It highlights areas of high randomness, which may indicate encrypted or compressed data in malware samples.
PatternDetector,tool,PatternDetector is a tool that finds specific byte patterns in files. It helps analysts search for known malicious signatures or magic numbers in binary data without running the file.
HexInspector,tool,HexInspector is a hex editor tailored for malware analysis. It provides static views of the raw file contents, allowing analysts to examine and annotate binary data directly.
ImpAnalyzer,tool,ImpAnalyzer is a tool that extracts and analyzes the import table from PE files. It identifies which system functions a binary uses, aiding analysts in understanding malware capabilities statically.
ELFChecker,tool,ELFChecker is a static analysis tool that inspects Linux ELF binaries. It parses sections and symbols, helping analysts identify suspicious code or hidden payloads in Linux executables.
PEUnpacker,tool,"PEUnpacker is a tool that attempts to unpack or decompress packed PE files. It uses static heuristics to remove common packers, revealing the original executable code for analysis."
DLLInspector,tool,DLLInspector is a tool that examines Windows DLL files. It displays exports and resources in DLLs to help analysts understand what functionality a DLL provides, without executing it.
AndroidUnpacker,tool,AndroidUnpacker is a tool that unpacks Android APK files (often packed or obfuscated). It extracts the APK contents and decompiles code to make static analysis of the app easier.
ResourceExtractor,tool,ResourceExtractor is a tool that retrieves embedded resources (images, icons, strings) from executables. It helps analysts extract and inspect potentially malicious assets included in files.
FunctionProfiler,tool,FunctionProfiler is a tool that identifies function boundaries and signatures in binaries. It aids in static analysis by highlighting distinct functions and their likely behaviors.
FeatureMiner,tool,FeatureMiner is a tool that extracts static features (like byte histograms or opcodes) from binaries for analysis. These features can be used in machine learning to classify or cluster malware.
GraphCollector,tool,"GraphCollector is a tool that generates control flow or call graphs from executables. It visualizes function relationships and paths in code, helping analysts understand program structure without running it."
APITracker,tool,APITracker is a tool that lists all API calls used by a binary. It helps in static analysis by showing which system or library functions malware is likely to invoke.
XORDecryptor,tool,XORDecryptor is a tool that attempts to decrypt sections of binaries by trying various XOR keys. It reveals strings or code hidden via XOR obfuscation during static analysis.
RegistrySearcher,tool,RegistrySearcher is a tool that searches binary data for registry path patterns. It helps analysts find hard-coded Windows registry keys that malware might use.
BinaryProfiler,tool,BinaryProfiler is a tool that analyzes binary files for embedded features such as strings, imports, and metadata. It creates a profile of potential indicators without executing the code.
FileInspector,tool,FileInspector is a tool that inspects file contents and structure. It examines headers, sections, and raw data to help analysts understand the file layout during static analysis.
XMLEditor,tool,XMLEditor is a tool that allows viewing and editing XML content. Static analysts use it to inspect and modify XML-based files (like Office OpenXML documents) for malicious macros or payloads.
ScriptScanner,tool,ScriptScanner is a tool that scans script files for suspicious patterns. It looks for obfuscated code and known malicious functions in scripts without executing them.
WebAnalyzer,tool,WebAnalyzer is a tool that inspects HTML and JavaScript code statically. It identifies hidden scripts, obfuscated code, and suspicious elements in web pages.
CryptoSniffer,tool,CryptoSniffer is a tool that identifies cryptographic routines in binaries. It highlights code patterns related to encryption or hashing algorithms in malware samples.
PolicyInspector,tool,PolicyInspector is a tool that checks Windows application policies and manifests. It helps analysts identify dangerous capabilities in executables without running them.
ImageParser,tool,ImageParser is a tool that parses image file formats (like PNG, JPEG). It extracts metadata and hidden data (steganography) that might be embedded by malware.
ArchiveAnalyzer,tool,ArchiveAnalyzer is a tool that inspects compressed archive files (ZIP, RAR). It lists contents and extracts embedded files to reveal potentially malicious payloads statically.
URLExtractor,tool,URLExtractor is a tool that scans files for URL patterns. It extracts all web links or domains found in a binary, aiding analysts in identifying potential command-and-control or drop sites.
DomainScanner,tool,DomainScanner is a tool that extracts domain names from binary data. It helps identify network indicators such as C2 domains embedded in malware samples.
PatternMiner,tool,PatternMiner is a tool that finds frequent byte sequences in a set of files. It helps static analysis by identifying common code fragments or signatures across malware samples.
MalwareToolkit,tool,MalwareToolkit is a collection of static analysis utilities for examining malware. It includes various tools (decompilers, hex editors, unpackers) to analyze binaries without executing them.
BinaryKit,tool,BinaryKit is a suite of static analysis utilities for binary files. It provides features like disassembly, string extraction, and hashing to examine file content and identify suspicious patterns.
StaticFramework,tool,StaticFramework is a framework that integrates multiple static analysis tools. It allows chaining tools like disassemblers and extractors to automate analysis pipelines on binary samples.
ReverseSuite,tool,ReverseSuite is a software suite combining decompilers, debuggers, and other static analysis tools. It provides a comprehensive environment for dissecting executables without execution.
EntropyAnalyzer,tool,"EntropyAnalyzer is a tool that measures entropy of file regions. It highlights sections of unusually high randomness (suggesting encryption or compression) to direct deeper static analysis."
DetectScout,tool,"DetectScout is a tool that scans files against a database of known malware signatures. It flags potential matches based on static patterns without needing to run the file."
SignatureTool,tool,SignatureTool is a utility for creating and managing static signatures (patterns) of known malware. Analysts use it to generate signature rules that can be applied to detect threats in binaries.
PatternMatcher,tool,PatternMatcher is a tool that applies user-defined byte or text patterns to files. It helps identify known malicious code snippets in binaries during static analysis.
Deobfuscator,tool,Deobfuscator is a tool that removes simple code obfuscation layers (like junk code or simple encryption). It reveals the original instructions or data hidden by obfuscation techniques.
HeuristicScanner,tool,HeuristicScanner is a tool that analyzes files based on heuristic rules (behavioral or structural patterns). It flags suspicious characteristics in the code without executing it.
UAnalyzer,tool,UAnalyzer is a tool that inspects the import table of PE files to compute an 'Imphash' (import hash). It helps classify malware by comparing import patterns across samples.
MacroParser,tool,MacroParser is a tool that extracts and decodes macros from Office documents. It statically retrieves VBA code from Word or Excel files for analysis.
OfficeMalScanner,tool,OfficeMalScanner is a tool that scans Office documents for malicious macros and objects. It extracts embedded code to help analysts detect macro-based malware.
OLEExplorer,tool,OLEExplorer is a tool for exploring OLE structured storage (used by older Office docs). It allows analysts to extract streams and macros from legacy document formats.
HtmlDeobfuscator,tool,HtmlDeobfuscator is a tool that cleans and decodes obfuscated JavaScript in HTML. It reveals hidden script code embedded in web pages without running the content.
PEParser,tool,PEParser is a tool that parses PE file structure in detail. It provides information about headers, sections, imports, and resources to assist in static examination of Windows binaries.
PortableExecutableFormat,domain,Portable Executable (PE) is the standard file format for Windows executables and DLLs. Static analysis of PE files involves examining headers, sections, imports, and resources to identify malicious content in Windows binaries.
ELF File Format,domain,The ELF (Executable and Linkable Format) is the standard binary format on Linux and Unix systems. Static analysis in this domain examines the ELF headers, sections, and symbol tables to detect hidden code or malicious payloads in Linux executables.
Mach-O Format,domain,Mach-O is the file format for executables and libraries on macOS and iOS. Static analysis of Mach-O files involves parsing its header, segments, and symbol tables to uncover malicious code in macOS applications.
Android APK Format,domain,Android APK is the package format for Android apps. Static analysis of APKs inspects the Android manifest, resources, and Dalvik bytecode inside the APK to find malicious behaviors or suspicious permissions.
Java JAR Format,domain,Java JAR (Java Archive) is the packaging format for Java classes and resources. Static analysis of JAR files includes decompiling the Java bytecode and inspecting class files to detect malicious logic in Java applications.
Office Document Format,domain,This domain covers Microsoft Office file formats (DOC/DOCX, XLS/XLSX, PPT/PPTX). Static analysis in this domain inspects embedded macros and file structure to identify malicious code without opening the documents.
PDF Document Format,domain,This domain covers PDF files. Static analysis of PDFs examines the document structure, object streams, and embedded scripts. Analysts look for malicious elements like embedded JavaScript or hidden objects in PDF files.
Script File Analysis,domain,Script file analysis covers static examination of scripting languages (like PowerShell, VBA, JavaScript, Bash). Analysts review the script text for malicious commands or obfuscated code without executing the scripts.
Malicious Document Analysis,domain,This domain focuses on analyzing documents (Office, PDF) that can contain malware. Static analysis techniques are used to extract and inspect embedded code or macros that may harbor malicious behavior.
Windows OS Domain,domain,The Windows OS domain encompasses the Windows operating system environment. Static malware analysis here deals with Windows-specific artifacts like the registry, PE files, and system DLLs to find malicious indicators.
Linux OS Domain,domain,The Linux OS domain covers static analysis on Linux systems. It includes examining ELF binaries, shared libraries, and configuration files to detect malware tailored for Linux environments.
macOS Domain,domain,The macOS domain covers the Apple macOS environment, including Mach-O executables and system frameworks. Static analysis in this domain inspects Mach-O binaries and resources to find macOS malware components.
Mobile Malware Domain,domain,The mobile malware domain includes analysis of malicious software on mobile platforms (Android, iOS). Static analysis here involves examining APKs on Android and IPA/Mach-O on iOS to detect threats on mobile devices.
IoT and Embedded Domain,domain,The IoT and embedded domain covers malware targeting IoT devices and embedded systems. Static analysis often involves inspecting firmware images and binaries for vulnerable or malicious code in hardware devices.
Firmware Analysis,domain,Firmware analysis is the process of examining the software that runs on hardware devices. Static analysis in this domain involves extracting and decompiling firmware images to look for malicious modifications or vulnerabilities.
Network Protocol Analysis,domain,This domain covers the study of network protocols. In static analysis, it can involve examining protocol specifications or packet captures for known indicators, though network data is typically dynamic in nature.
Code Signing Domain,domain,This domain involves examining digital signatures on executables and documents. Static analysis here checks code signing certificates and cryptographic signatures to validate integrity and identify tampering.
Reverse Engineering Domain,domain,Reverse engineering is the field of dissecting software to understand its components and behavior without source code. It encompasses many static analysis techniques (like disassembly and decompilation) to reveal how a program or malware works internally.
Binary Analysis Domain,domain,Binary analysis covers the broad area of analyzing executable files without source. Static malware analysis falls under this, where analysts use tools to inspect machine code, file headers, and data sections for malicious traits.
Static Analysis Domain,domain,Static analysis is the field of analyzing software without executing it. This domain includes techniques such as disassembly, decompilation, and pattern scanning to discover malicious code and features in binaries.
Malware Classification Domain,domain,Malware classification is the practice of categorizing malware based on static properties. This domain uses static features (like file hashes, import tables, or code patterns) to group malware samples into known families.
Threat Intelligence Domain,domain,Threat intelligence is the domain of gathering and analyzing information about threats. Static analysis contributes by extracting Indicators of Compromise (IOCs) from files, such as IPs, domains, and hashes, for intelligence sharing.
Cryptography Domain,domain,Cryptography in the context of malware analysis involves examining encryption and hashing algorithms used by malware. Static analysis here looks for cryptographic routines or keys embedded in code that may be used to encrypt payloads or communications.
Obfuscation Domain,domain,Obfuscation covers techniques malware uses to hide its code and data (like packing or encryption). Static analysis in this domain tries to reverse those transformations (unpacking, deobfuscation) to reveal the original code.
Machine Learning Domain,domain,The machine learning domain in static analysis involves using ML techniques to detect malware. Analysts extract features (like byte patterns or opcodes) from binaries to train models that classify files as malicious or benign without execution.
Statistical Analysis Domain,domain,Statistical analysis involves computing metrics (like entropy, byte frequency) on files. Static malware analysts use statistical measures to identify anomalies, such as high entropy indicating encrypted sections in a binary.
Graph Analysis Domain,domain,Graph analysis involves examining code structure as graphs (control flow, call graphs). In static analysis, generating these graphs helps visualize program logic and find hidden paths or repeated patterns in malware.
Polymorphism Domain,domain,Polymorphism refers to malware techniques that change code on each infection. Static analysis in this domain looks for invariant patterns and unpacking methods that can identify a polymorphic malware family.
Digital Forensics Domain,domain,Digital forensics is the domain of investigating digital artifacts after an incident. Static malware analysis supports forensics by examining recovered files, executables, and documents to identify malicious content.
