"Title","Authors","Year","Abstract","Link","Cited_By","Top_Domains","Top_Methodologies","Top_Techniques"
"Reinforcement learning based accurate detection of malicious URLs with multi-feature analysis","Wan X.; Li P.; Wang Y.; Wei W.; Xiao L.","2021","Malicious URLs result in malware installation, privacy leakage and illegal funding of mobile devices and computers. However, attackers frequently change domain names of URLs to avoid static detection and the malicious URL detection has to address variance in structure of domain names, which seriously degrades the detection accuracy in fixed detection policy selection and impedes optimal policy selection with theoretical analysis. In this paper, we propose an accurate detection of malicious URLs ...","10.1109/ICCC52777.2021.9580433","1","5G Security","","Incremental Learning; Meta-Learning; Transfer Learning; Reinforcement Learning"
"Diverse Approaches Have Been Presented To Mitigate SQL Injection Attack, But It Is Still Alive: A Review","Qbea'h M.; Alrabaee S.; Alshraideh M.; Sabri K.E.","2022","A huge amount of stored and transferred data is expanding rapidly. Therefore, managing and securing the big volume of diverse applications should have a high priority. However, Structured Query Language Injection Attack (SQLIA) is one of the most common dangerous threats in the world. Therefore, a large number of approaches and models have been presented to mitigate, detect or prevent SQL injection attack but it is still alive. Most of old and current models are created based on static, dynamic,...","10.1109/ICCA56443.2022.10039611","7","Application Security; Mobile Security; Web Security","","DLL Injection"
"Data Augmented Hardware Trojan Detection Using Label Spreading Algorithm Based Transductive Learning for Edge Computing-Assisted IoT Devices","Sankar V.; Nirmala Devi M.; Jayakumar M.","2022","IoT devices handle a large amount of information including sensitive information pertaining to the deployed application. Such a scenario, makes IoT devices susceptible to various attacks. In addition to securing IoT devices, it is equally important to secure communication among devices and with the outside world. RS232 is a common communication protocol used in IoT and embedded devices. Hence ensuring, Trojan detection in RS232 plays a major role in providing secured communication among edge ass...","10.1109/ACCESS.2022.3209705","10","Edge Computing; Hardware Trojan Detection","","Active Learning; Hyperparameter Optimization; Principal Component Analysis; Data Augmentation"
"Robust Android Malware Detection System Against Adversarial Attacks Using Q-Learning","Rathore H.; Sahay S.K.; Nikam P.; Sewak M.","2021","Since the inception of Andoroid OS, smartphones sales have been growing exponentially, and today it enjoys the monopoly in the smartphone marketplace. The widespread adoption of Android smartphones has drawn the attention of malware designers, which threatens the Android ecosystem. The current state-of-the-art Android malware detection systems are based on machine learning and deep learning models. Despite having superior performance, these models are susceptible to adversarial attack. Therefore...","10.1007/s10796-020-10083-8","58","","","Stack Analysis; Static Analysis; Q-Learning; Reinforcement Learning; IRC Analysis"
"Adversarial Attack and Defense on Graph-based IoT Botnet Detection Approach","Ngo Q.-D.; Nguyen H.-T.; Nguyen V.-D.; Dinh C.-M.; Phung A.-T.; Bui Q.-T.","2021","To reduce the risk of botnet malware, methods of detecting botnet malware using machine learning have received enormous attention in recent years. Most of the traditional methods are based on supervised learning that relies on static features with defined labels. However, recent studies show that supervised machine learning-based IoT malware botnet models are more vulnerable to intentional attacks, known as an adversarial attack. In this paper, we study the adversarial attack on PSI-graph based ...","10.1109/ICECCE52056.2021.9514255","6","","","Incremental Learning; Meta-Learning; Reinforcement Learning; Graph Analysis; Adversarial Training"
"CogramDroid–An approach towards malware detection in Android using opcode ngrams","Bhat P.; Dutta K.","2021","The recent increase in Android's popularity has resulted in a swamp of attacks faced by the platform. Several researchers have come out with various static malware detection tools using opcodes as features since opcodes provide the details of intrinsic patterns of application raw data. This article presents a new malware detection approach CogramDroid based on opcode ngrams. The approach classifies the applications based on the relative frequency patterns of the opcode ngrams using the concept o...","10.1002/cpe.6332","6","Natural Language Processing","",""
"A Machine Learning Based Automatic Hardware Trojan Attack Space Exploration and Benchmarking Framework","Cruz J.; Gaikwad P.; Nair A.; Chakraborty P.; Bhunia S.","2022","Due to the current horizontal business model that promotes increasing reliance on untrusted third-party Intellectual Properties (IPs), Computer-Aided-Design (CAD) tools, and design facilities, hidden malicious functionalities, also known as hardware Trojan attacks, have become a serious threat to the semiconductor industry. Development of effective countermeasures against hardware Trojan attacks require: (1) fast and reliable exploration of the viable Trojan attack space for a given design and (...","10.1109/AsianHOST56390.2022.10022234","9","Benchmarking","","Active Learning"
"A Novel Model Based on Ensemble Learning for Detecting DGA Botnets","Vu X.H.; Hoang X.D.; Chu T.H.H.","2022","Recently, DGA has been becoming a popular technique used by many malwares in general and botnets in particular. DGA allows hacking groups to automatically generate and register domain names for C&C servers of their botnets in order to avoid being blacklisted and disabled if using static domain names and IP addresses. Many types of sophisticated DGA techniques have been developed and used in practice, including character-based DGA, word-based DGA and mixed DGA. These techniques allow to generate ...","10.1109/KSE56063.2022.9953792","5","","",""
"Decoding the Secrets of Machine Learning in Windows Malware Classification: A Deep Dive into Datasets, Features, and Model Performance","Dambra S.; Han Y.; Aonzo S.; Kotzias P.; Vitale A.; Caballero J.; Balzarotti D.; Bilge L.","2021","Many studies have proposed machine-learning (ML) models for malware detection and classification, reporting an almost-perfect performance. However, they assemble ground-truth in different ways, use diverse static- and dynamic-analysis techniques for feature extraction, and even differ on what they consider a malware family. As a consequence, our community still lacks an understanding of malware classification results: whether they are tied to the nature and distribution of the collected dataset,...","10.1145/3576915.3616589","16","","","Malware Classification; Feature Extraction; Active Learning"
"iABC-AL: Active learning-based privacy leaks threat detection for iOS applications","Bhatt A.J.; Gupta C.; Mittal S.","2021","Do iOS applications breach privacy? With plethora of iOS applications available in market, most users are unaware of security risks they pose. This includes breach of user's privacy by sharing personal and sensitive Smartphone data without user's consent. Apple follows strict code signing procedure to ensure that applications are developed from trusted enterprises. However, past malware attacks on iOS devices have demonstrated that there is lack of protection from permission misuse by applicatio...","10.1016/j.jksuci.2018.05.008","6","","","Stack Analysis; Active Learning; Static Analysis; IRC Analysis; Taint Analysis"
"Unsupervised packet-based anomaly detection in virtual networks","Spiekermann D.; Keller J.","2021","The enormous number of network packets transferred in modern networks together with the high speed of transmissions hamper the implementation of successful IT security mechanisms. In addition, virtual networks create highly dynamic and flexible environments which differ widely from well-known infrastructures of the past decade. Network forensic investigation that aims at the detection of covert channels, malware usage or anomaly detection is faced with new problems and is thus a time-consuming, ...","10.1016/j.comnet.2021.108017","13","IoT Security","","Anomaly Detection"
"Android mobile malware detection using fuzzy AHP","Mohamad Arif J.; Ab Razak M.F.; Tuan Mat S.R.; Awang S.; Ismail N.S.N.; Firdaus A.","2021","Android mobile is very challenging because it is an open-source operating system that is also vulnerable to attacks. Previous studies have shown various mobile malware detection methods to overcome this problem, but still, there is room for improvement. Mobile users mostly ignore long lists of permissions because these are difficult to understand. Therefore, to distinguish benign or malware applications and the probability of each permission request is understood, it is necessary to evaluate And...","10.1016/j.jisa.2021.102929","50","","","Static Analysis"
"Research on unsupervised feature learning for Android malware detection based on Restricted Boltzmann Machines","Liu Z.; Wang R.; Japkowicz N.; Tang D.; Zhang W.; Zhao J.","2021","Android malware detection has attracted much attention in recent years. Existing methods mainly research on extracting static or dynamic features from mobile apps and build mobile malware detection model by machine learning algorithms. The number of extracted static or dynamic features maybe much high. As a result, the data suffers from high dimensionality. In addition, to avoid being detected, malware data is varied and hard to obtain in the first place. To detect zeroday malware, unsupervised ...","10.1016/j.future.2021.02.015","51","","",""
"Android malware classification using convolutional neural network and LSTM","Hosseini S.; Nezhad A.E.; Seilani H.","2021","Hand phone devices are the latest technological developments of the 20th century. There is an increasing number of fishing, sniffing and other kinds of attacks in this field of technology. Although signature-based methods are usable, they are not very reliable when faced with new kinds of malwares and they are neither accurate nor enough. Furthermore, signature-based methods cannot efficiently detect rapid malware behavior changes. Our classification process consists of not only analyzing of the...","10.1007/s11416-021-00385-z","16","API Development","","Malware Classification; Long Short-Term Memory; Convolutional Neural Networks"
"Detection of iOS malware apps based on significant services identification using borda count","Sardana N.; Jadhav Bhatt A.","2021","In today's era, smartphones are used in daily lives because they are ubiquitous and provide internet connectivity everywhere. The primary reason for the increased usage of smartphones is their functional expandability by installing third-party apps, which span a wide range of categories including books, social networking, instant messaging, etc. Users are compelled to use these feature-rich apps. As a result, the menaces because of these apps, which are potentially risky for user's privacy, have...","10.1145/3474124.3474136","3","Access Control","","Stack Analysis; Static Analysis; IRC Analysis; Taint Analysis"
"Applications of Artificial Intelligence to Detect Android Botnets: A Survey","Almuhaideb A.M.; Alynanbaawi D.Y.","2022","From the growing popularity of Android smart devices, and especially with the recent advances brought on by the COVID-19 pandemic on digital adoption and transformation, the importance of protecting these devices has grown, as they carry very sensitive data. Malicious attacks are targeting Android since it is open source and has the highest adoption rate among mobile platforms. Botnet attacks are one of the most often forgotten types of attacks. In addition, there is a lack of review papers that...","10.1109/ACCESS.2022.3187094","11","Research and Development; Artificial Intelligence Ethics","",""
"IDEV: Exploring and exploiting semantic deviations in ARM instruction processing","Qin S.; Zhang C.; Chen K.; Li Z.","2021","ARM has become the most competitive processor architecture. Many platforms or tools are developed to execute or analyze ARM instructions, including various commercial CPUs, emulators, and binary analysis tools. However, they have deviations when processing the same ARM instructions, and little attention has been paid to systematically analyze such semantic deviations, not to mention the security implications of such deviations. In this paper, we conduct an empirical study on the ARM Instruction ...","10.1145/3460319.3464842","7","","",""
"Malicious code detection method based on static features and ensemble learning","Li W.; Zhang C.; Zhou J.; Wang D.; Li N.","2021","In recent years, malicious code emerges in endlessly. New types of malicious code evade the traditional malicious code detection technology through polymorphism, shelling, confusion and other ways. In order to solve the challenges brought by various technologies to the research of malicious code detection, in this paper, we propose a malicious code detection method based on static features and ensemble learning. This method extracts the information in the PE header file of malicious code samples...","10.1088/1742-6596/2010/1/012165","0","Deception Technology","","Clone Detection"
"A Review: Static Analysis of Android Malware and Detection Technique","Arif J.M.; Razak M.F.A.; Awang S.; Tuan Mat S.R.; Ismail N.S.N.; Firdaus A.","2021","Android malware has become more widespread in recent years due to the growing popularity of Android mobile. Android malware is installed without the user's consent on a mobile device and exhibits significant risks to users, including personal information disclosure and fraud. Furthermore, some malware may be hidden inside the mobile device using various obfuscation techniques and cause harm. To mitigate these risks, the researcher recommended a variety of detection techniques. Unfortunately, it ...","10.1109/ICSECS52883.2021.00112","2","","","Stack Analysis; Static Analysis; Signature-based Detection; IRC Analysis; Taint Analysis"
"Obfuscation Revealed: Leveraging Electromagnetic Signals for Obfuscated Malware Classification","Pham D.-P.; Marion D.; Mastio M.; Heuser A.","2021","The Internet of Things (IoT) is constituted of devices that are exponentially growing in number and in complexity. They use numerous customized firmware and hardware, without taking into consideration security issues, which make them a target for cybercriminals, especially malware authors. We will present a novel approach of using side channel information to identify the kinds of threats that are targeting the device. Using our approach, a malware analyst is able to obtain precise knowledge abou...","10.1145/3485832.3485894","26","Complexity Theory","","Malware Classification"
"ADCAS: Adversarial Deep Clustering of Android Streams","Katebi M.; Rezakhani A.; Joudaki S.","2021","The data sequences which are used in malware analysis can be attacked in many applications. However, adversarial attacks are rarely regarded in these types of data. In this paper, a deep learning-based malware clustering approach for sequential data was proposed and the impact of deploying adversarial attacks on it was investigated. An input data stream of android applications was considered as a sequence and the proposed method was tested with the extracted static features of android applicatio...","10.1016/j.compeleceng.2021.107443","5","","","Adware Analysis"
"LSTM android malicious behavior analysis based on feature weighting","Yang Q.; Wang X.; Zheng J.; Ge W.; Bai M.; Jiang F.","2021","With the rapid development of mobile Internet, smart phones have been widely popularized, among which Android platform dominates. Due to it is open source, malware on the Android platform is rampant. In order to improve the efficiency of malware detection, this paper proposes deep learning Android malicious detection system based on behavior features. First of all, the detection system adopts the static analysis method to extract different types of behavior features from Android applications, an...","10.3837/tiis.2021.06.014","2","API Development","","Virus Analysis; Long Short-Term Memory; Static Analysis; Behavioral Analysis"
"ERIC: An Efficient and Practical Software Obfuscation Framework","Bolat A.; Celik S.H.; Olgun A.; Ergin O.; Ottavi M.","2022","Modern cloud computing systems distribute software executables over a network to keep the software sources, which are typically compiled in a security-critical cluster, secret. However, these executables are still vulnerable to reverse engineering techniques that can extract secret information from programs (e.g., an algorithm, cryptographic keys), violating the IP rights and potentially exposing the trade secrets of the software developer. Malicious parties can (i) statically analyze the disass...","10.1109/DSN53405.2022.00053","4","","","Static Analysis; Dynamic Analysis; Deobfuscation; Disassembly; Reverse Engineering"
"2-SPIFF: a 2-stage packer identification method based on function call graph and file attributes","Liu H.; Guo C.; Cui Y.; Shen G.; Ping Y.","2021","Most malware employs packing technology to escape detection; thus, packer identification has become increasingly important in malware detection. To improve the accuracy of packer identification, this article analyses the differences in the function call graph (FCG) and file attributes between the non-packed executable files and the executable files packed by different packers, and further proposes a 2-stage packer i dentification method based on FCG and file attributes (2-SPIFF). In 2-SPIFF, the...","10.1007/s10489-021-02347-w","5","","","Stack Analysis; Feature Extraction; Static Analysis; IRC Analysis; Taint Analysis"
"A Survey on malware detection techniques","Alsmadi T.; Alqudah N.","2021","Malware programs have become a serious threat as it was developed to damage computer systems, spread over the network or Internet connections. Researchers are making great efforts to produce anti-malware systems with practical ways to detect malware protection and malware detection of computer systems.Two basic approaches were proposed: based on the signature and the heuristics rule detected, we can detect known malware accurately. However, signature-based detection techniques are regarded as in...","10.1109/ICIT52682.2021.9491765","48","","","Static Analysis; Signature-based Detection; Dynamic Analysis"
"Hypervisor-assisted dynamic malware analysis","Leon R.S.; Kiperberg M.; Leon Zabag A.A.; Zaidenberg N.J.","2021","Malware analysis is a task of utmost importance in cyber-security. Two approaches exist for malware analysis: static and dynamic. Modern malware uses an abundance of techniques to evade both dynamic and static analysis tools. Current dynamic analysis solutions either make modifications to the running malware or use a higher privilege component that does the actual analysis. The former can be easily detected by sophisticated malware while the latter often induces a significant performance overhea...","10.1186/s42400-021-00083-9","13","","","Adware Analysis; Static Analysis; Worm Analysis; Dynamic Analysis"
"Automatic generation of different malware; [Farkli kötücül yazilimlarin otomatik olarak üretilmesi]","Celik A.E.; Dogru I.A.; Uctu G.","2021","The use of mobile devices has increased dramatically in recent years. These smart devices allow us to easily perform many functions such as e-mail, internet, Bluetooth, SMS and MMS without restriction of time and place. Thus, these devices have become an indispensable part of our lives today. Due to this high usage, malware developers have turned to this platform and many mobile malware has emerged in recent years. Many security companies and experts have developed methods to protect our mobile ...","10.1109/SIU53274.2021.9477845","0","","","Static Analysis; Dynamic Analysis"
"MEGDroid: A model-driven event generation framework for dynamic android malware analysis","Hasan H.; Tork Ladani B.; Zamani B.","2021","Context: The tremendous growth of Android malware in recent years is a strong motivation for the vast endeavor in detection and analysis of malware apps. A prominent approach for this purpose is dynamic analysis in which providing complex interactions with the samples under analysis is a need. Event generation tools are almost used to provide such interactions, but they have deficiencies for effective malware analysis. For example, anti-static and anti-dynamic analysis techniques employed by the...","10.1016/j.infsof.2021.106569","34","","","Adware Analysis; Worm Analysis; Dynamic Analysis"
"Certified Robustness of Static Deep Learning-based Malware Detectors against Patch and Append Attacks","Gibert D.; Zizzo G.; Le Q.","2021","Machine learning-based (ML) malware detectors have been shown to be susceptible to adversarial malware examples. Given the vulnerability of deep learning detectors to small changes on the input file, we propose a practical and certifiable defense against patch and append attacks on malware detection. Our defense is inspired by the concept of (de)randomized smoothing, a certifiable defense against patch attacks on image classifiers, which we adapt by: (1) presenting a novel chunk-based smoothing ...","10.1145/3605764.3623914","4","","","Randomized Smoothing"
"Differential Static Analysis for Detecting Malicious Updates to Open Source Packages","Froh F.N.; Gobbi M.F.; Kinder J.","2021","Modern software applications routinely integrate many third-party open source dependencies, with package managers delivering timely updates of the entire dependency tree. The downside is that malicious actors can inject malicious code into widely-used software packages, which is then distributed to potentially thousands of direct or indirect client applications. Such attacks on the software supply chain are no longer just theoretical curiosities, but a practical risk. To mitigate this risk, we p...","10.1145/3605770.3625211","8","","","Stack Analysis; Static Analysis; IRC Analysis; Taint Analysis"
"A comprehensive survey of tools and techniques mitigating computer and mobile malware attacks","Abijah Roseline S.; Geetha S.","2021","In this era of modernization, digital technology plays a major role in all facets of life. We are accustomed to using computers and smartphones to access information, create, express, communicate, and collaborate, contributing to our personal, social, and professional survival at a comfortable level. As the legitimate use of digital space has grown, so have the prospects for malice via swindlers, blackmailers, vandals, and other criminals, to benefit by creating and propagating malware. While th...","10.1016/j.compeleceng.2021.107143","37","Deep Learning Techniques","","Static Analysis; Dynamic Analysis; Reverse Engineering; Pruning Techniques"
"Detecting Malicious Android Applications Based on API calls and Permissions Using Machine learning Algorithms","Mohamed S.E.; Ashaf M.; Ehab A.; Shereef O.; Metwaie H.; Amer E.","2021","Android malware is growing, and the Android operating system is becoming more mainstream. Malware developers are using new strategies to build harmful Android apps, significantly weakening the capability of conventional malware detectors, which are unable to identify these mysterious malicious applications. Machine learning methods can be used to identify unknown Android malware using the functionality gleaned from static and dynamic reviews of Android apps. This article aims to compare and anal...","10.1109/MIUCC52538.2021.9447594","16","","","Active Learning"
"A Method for Windows Malware Detection Based on Deep Learning","Huang X.; Ma L.; Yang W.; Zhong Y.","2021","As the Internet rapidly develops, the types and quantity of malware continue to diversify and increase, and the technology of evading security software is becoming more and more advanced. This paper proposes a malware detection method based on deep learning, which combines malware visualization technology with convolutional neural network. The structure of neural network is based on VGG16 network. This paper proposes the hybrid visualization of malware, combining static and dynamic analysis. In ...","10.1007/s11265-020-01588-1","87","","","Convolutional Neural Networks; Dynamic Analysis"
"Review of Encrypted Virus: Detection analyses Methods","Ayoub H.G.; Suhail A.T.","2021","Most of the recent researchers had a great interest in encrypted virus detection. This interest came after the continuous production of encrypted viruses. The machine learning algorithms had been implemented to build an efficient detector. Some of these researches proposed a signature-based method that might not be able to detect recent encrypted viruses. Therefore, other researchers built their methods upon the encrypted virus's behaviour without seeking its signature. The behaviour-based or he...","10.1109/ICACCS51430.2021.9441915","3","","","Active Learning; Heuristic Analysis; Dynamic Analysis; Section Analysis"
"A Static Analysis Tool for Malware Detection","Noman H.A.; Al-Maatouk Q.; Noman S.A.","2021","Malware detection refers to the process of detecting the presence of Malware on a host system or of distinguishing whether a specific program is malicious. The different types of Malware created new challenges for the researchers to develop a concrete detection solution that can tackle the Malware effectively. Malware analysis can be classified into two methods: The first is done by analyzing the Malware statically without executing it. The second method is conducted by analyzing the Malware dyn...","10.1109/ICDABI53623.2021.9655866","9","","","Stack Analysis; Static Analysis; IRC Analysis; Reverse Engineering; Taint Analysis"
"Machine Learning-Based Lightweight Android Malware Detection System with Static Features","Jain K.; Dave M.","2021","With the increased popularity and wide adaptation in the embedded system domain, Android has become the main target for malware writers. Due to rapid growth in the number, variants and diversity of malware, fast detection of malware on the Android platform has become a challenging task. Existing malware detection systems built around machine learning algorithms with static, dynamic, or both analysis techniques use a high dimensionality of feature set. Machine learning algorithms are often challe...","10.1007/978-981-15-7804-5_26","3","","","Stack Analysis; Active Learning; Static Analysis; BERT for Malware; Feature Engineering"
"Malicious application detection in android - A systematic literature review","Sharma T.; Rattan D.","2021","Context: In last decade, due to tremendous usage of smart phones it seems that these gadgets became an essential necessity of day-to-day life. People are using new technologies and storing prominent data in their smartphones. Unfortunately, data related to privacy is center of attraction for attackers. Therefore, attackers are developing new techniques to steal the data from smartphones. Objective: The objective of study is to report a systematic literature review regarding malicious application...","10.1016/j.cosrev.2021.100373","61","","",""
"On the Interplay between Static and Dynamic Analysis for Mining Sandboxes","Da Costa F.H.","2021","Due to the popularization of Android and the full range of applications (apps) targeting this platform, many security issues have emerged, attracting researchers and practitioners' attention. As such, many techniques for addressing security Android issues appeared, including approaches for mining sandboxes. Previous research studies have compared Android test case generation tools for this specific goal. Our research aims to explore new techniques for mining sandboxes, especially we are interest...","10.1109/ICSE-Companion52605.2021.00135","0","","","Static Analysis; Dynamic Analysis; IRC Analysis; WMI Analysis"
"Real Time early Multi Stage Attack Detection","Takey Y.S.; Tatikayala S.G.; Samavedam S.S.; Lakshmi Eswari P.R.; Patil M.U.","2021","In recent times, attackers are continuously developing advanced techniques for evading security, stealing personal financial data, Intellectual Property (IP) and sensitive information. These attacks often employ multiple attack vectors for gaining initial access to the systems. Analysts are often challenged to identify malware objective, initial attack vectors, attack propagation, evading techniques, protective mechanisms and unseen techniques. Most of these attacks are frequently referred to as...","10.1109/ICACCS51430.2021.9441956","15","5G Security","","Static Analysis; Signature-based Detection"
"A learning-based static malware detection system with integrated feature","Chen Z.; Zhang X.; Kim S.","2021","The rapid growth of malware poses a significant threat to the security of computer systems. Analysts now need to examine thousands of malware samples daily. It has become a challenging task to determine whether a program is a benign program or malware. Making accurate decisions about the program is crucial for anti-malware products. Precise malware detection techniques have become a popular issue in computer security. Traditional malware detection uses signature-based strategies, which are the m...","10.32604/IASC.2021.016933","8","","","Stack Analysis; Feature Extraction; Static Analysis; Gradient Boosting; K-Nearest Neighbors"
"Dynamic mobile malware detection through system call-based image representation","Casolare R.; De Dominicis C.; Iadarola G.; Martinelli F.; Mercaldo F.; Santone A.","2021","Mobile devices, with particular regard to the ones equipped with the Android operating system, are currently targeted by malicious writers that continuously develop harmful code able to gather private and sensitive information for our smartphones and tablets. The signature provided by the antimalware demonstrated to be not effective with new malware or malicious payload obfuscated with aggressive morphing techniques. Current literature in malware detection proposes methods exploiting both static...","10.22667/JOWUA.2021.03.31.044","21","Mobile Security","","Dynamic Analysis"
"Validating static call graph-based malware signatures using community detection methods","Mester A.; Bodó Z.","2021","Due to the increasing number of new malware appearing daily, it is impossible to manually inspect each sample. By applying data mining techniques to analyze the program code, we can help manual processing. In this paper we propose a method to extract signatures from the executable binary of a malware, in order to query the local neighborhood in real time. The method is validated by applying community detection algorithms on the common fingerprint-based malware graph to identify families, and ass...","10.14428/esann/2021.ES2021-27","3","","",""
"TriDroid: a triage and classification framework for fast detection of mobile threats in android markets","Amira A.; Derhab A.; Karbab E.M.B.; Nouali O.; Khan F.A.","2021","The Android platform is highly targeted by malware developers, which aim to infect the maximum number of mobile devices by uploading their malicious applications to different app markets. In order to keep a healthy Android ecosystem, app-markets check the maliciousness of newly submitted apps. These markets need to (a) correctly detect malicious app, and (b) speed up the detection process of the most likely dangerous applications among an overwhelming flow of submitted apps, to quickly mitigate ...","10.1007/s12652-020-02243-0","10","","",""
"Static and Dynamic Learning-Based PDF Malware Detection classifiers—A Comparative Study","Vishnu N.S.; Lakshmi S.M.; Shukla A.K.","2021","The malicious software are still accounting up as a substantial threat to the cyber world. The most widely used vectors to infect different systems using malware are the document files. In this, the attacker tries to blend the malevolent code with the benign document files to carry out the attack. Portable document format (PDF) is the most commonly used document format to share the documents due to its portability and light weight. In this modern era, the attackers are implementing highly advanc...","10.1007/978-981-16-3067-5_41","2","","","Feature Extraction"
"Taming Reflection: An Essential Step Toward Whole-program Analysis of Android Apps","Sun X.; Li L.; Bissyandé T.F.; Klein J.; Octeau D.; Grundy J.","2021","Android developers heavily use reflection in their apps for legitimate reasons. However, reflection is also significantly used for hiding malicious actions. Unfortunately, current state-of-the-art static analysis tools for Android are challenged by the presence of reflective calls, which they usually ignore. Thus, the results of their security analysis, e.g., for private data leaks, are incomplete, given the measures taken by malware writers to elude static detection. We propose a new instrument...","10.1145/3440033","13","","","Stack Analysis; Static Analysis; Worm Analysis; N-gram Analysis; IRC Analysis"
"Unsupervised behavioural mining and clustering for malware family identification","Dam K.H.T.; Given-Wilson T.; Legay A.","2021","More accurate and advanced detection and classification of malware requires exploiting program behaviour and not merely syntactic or static features. One approach is to use system call dependency graphs (SCDGs) that represent the program behaviour by interactions with the system, and the relations between these interactions. These SCDGs have been used with supervised learning techniques to very accurately detect and classify malware. This works considers the unsupervised learning challenge of mi...","10.1145/3412841.3441919","10","Deep Learning Techniques","","Edge Detection; Pruning Techniques"
"A Malicious Code Static Detection Framework Based on Multi-Feature Ensemble Learning; [一种基于多特征集成学习的恶意代码静态检测框架]","Yang W.; Gao M.; Jiang T.","2021","With the popularity of the Internet and the rapid development of 5G communication technology, the threats to cyberspace are increasing, especially the exponential increase in the number of malware and the explosive increase in the number of variants of their families. The traditional signature-based malware detection is too slow to handle the millions of new malwares emerged every day, while the false positive and false negative rates of general machine learning classifiers are significantly too...","10.7544/issn1000-1239.2021.20200912","17","API Development","",""
"Investigating behavioral differences between IoT malware via function call sequence graphs","Kawasoe R.; Han C.; Isawa R.; Takahashi T.; Takeuchi J.","2021","IoT malware that infects IoT devices is rampant. Most IoT malware variants are generated by changing various behaviors such as an attack method based on existing malware families. Nearly all antivirus software only identifies the malware family's name; thus, we cannot acquire further details about differences between malware behaviors. In this paper, we propose a graph-based method for confirming differences in malware behaviors and investigating the actual conditions of malware variants. The pr...","10.1145/3412841.3442041","14","","","Stack Analysis; Static Analysis; IRC Analysis; Taint Analysis"
"CSForest: an approach for imbalanced family classification of android malicious applications","Dhalaria M.; Gandotra E.","2021","Recently, a variety of mobile security threats have been emerged due to the exponential growth in mobile technologies. Various techniques have been developed to address the risks associated with malware. The most popular method to detect Android malware relies on the signature-based method. The drawback of this method is that it is unable to detect unknown malware. Due to this problem, machine learning came into existence for detecting and classifying malware applications. The conventional machi...","10.1007/s41870-021-00661-7","18","Mobile Security","","Active Learning"
"Improving ML Detection of IoT Botnets using Comprehensive Data and Feature Sets","Mehra M.; Paranjape J.N.; Ribeiro V.J.","2021","In recent times, the world has seen a tremendous increase in the number of attacks on IoT devices. A majority of these attacks have been botnet attacks, where an army of compromised IoT devices is used to launch DDoS attacks on targeted systems. In this paper, we study how the choice of a dataset and the extracted features determine the performance of a Machine Learning model, given the task of classifying Linux Binaries (ELFs) as being benign or malicious. Our work focuses on Linux systems sinc...","10.1109/COMSNETS51098.2021.9352943","7","IoT Security","","Feature Extraction; Sandboxing"
"Classification of malware using av labels technique with various approaches","Rai M.K.; Sharma P.","2021","As world moves towards the digitalization, Thus to satisfy the customer demand, Industry move in the world of cyberspace where everything is connected with a network. Apart from these advance and attractive facilities provided by the different industries, there is a serious concern regarding the security issues shown in the previous years. Several malware attacks happen by the different malicious groups to disrupt the services. Most of the malware identified in these cyber-attacks are from the k...","10.21817/indjcse/2021/v12i2/211202140","0","","","Information Gain"
"A novel permission ranking system for android malware detection—the permission grader","Dharmalingam V.P.; Palanisamy V.","2021","Android is a profound, vanguard mobile operating system of the contemporary era. The quantity of mobile phone emptor dependent on Android platform is rising expeditiously, which expands its prominence everywhere throughout the world. The facts demonstrate that there are different sides to everything, with the remarkable achievement of the Android; attacks on Android operating system have been on the rise, as there are a lot of apps on the Internet that encompass malware. Malware is a segment of ...","10.1007/s12652-020-01957-5","15","","","Stack Analysis; Static Analysis; IRC Analysis; Taint Analysis"
"HAPSSA: Holistic Approach to PDF malware detection using Signal and Statistical Analysis","Mohammed T.M.; Nataraj L.; Chikkagoudar S.; Chandrasekaran S.; Manjunath B.S.","2021","Malicious PDF documents present a serious threat to various security organizations that require modern threat intelligence platforms to effectively analyze and characterize the identity and behavior of PDF malware. State-of-the-art approaches use machine learning (ML) to learn features that characterize PDF malware. However, ML models are often susceptible to evasion attacks, in which an adversary obfuscates the malware code to avoid being detected by an Antivirus. In this paper, we derive a sim...","10.1109/MILCOM52596.2021.9653097","9","Statistical Analysis","","Stack Analysis; Active Learning; Static Analysis; Statistical Analysis; Dynamic Analysis"
"Auditing static machine learning anti-Malware tools against metamorphic attacks","Gibert D.; Mateu C.; Planes J.; Marques-Silva J.","2021","Malicious software is one of the most serious cyber threats on the Internet today. Traditional malware detection has proven unable to keep pace with the sheer number of malware because of their growing complexity, new attacks and variants. Most malware implement various metamorphic techniques in order to disguise themselves, therefore preventing successful analysis and thwarting the detection by signature-based anti-malware engines. During the past decade, there has been an increase in the resea...","10.1016/j.cose.2020.102159","18","","","Malware Classification; Adversarial Examples; Deobfuscation"
